Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,MCD,MCD,MCD,MCD,MCD,,,
2021-05-25,2021,5,25,Tuesday,21,2021-21,207.24,207.77,205.93,207.21,2681900,0.000991877089798976,207.2957142857143,205.6082
2021-05-26,2021,5,26,Wednesday,21,2021-21,208.68,208.68,207.23,207.4,1564200,0.0009045150122761747,207.13571428571427,205.83120000000002
2021-05-27,2021,5,27,Thursday,21,2021-21,207.99,209.83,207.44,209.64,5242900,0.010802655339165801,207.13714285714286,206.0232
2021-05-28,2021,5,28,Friday,21,2021-21,210.14,210.39,208.63,209.92,2853600,0.0013702832823765387,207.01357142857142,206.2424
2021-06-01,2021,6,1,Tuesday,22,2021-22,211.8,211.81,208.89,209.34,2574300,-0.002779265643236495,207.05642857142857,206.4582
2021-06-02,2021,6,2,Wednesday,22,2021-22,210.0,210.32,208.95,209.83,3172000,0.0023152691945065307,207.51142857142855,206.6368
2021-06-03,2021,6,3,Thursday,22,2021-22,208.74,208.91,206.57,208.63,3249400,-0.0056890642863318686,207.7642857142857,206.80399999999997
2021-06-04,2021,6,4,Friday,22,2021-22,209.52,209.84,208.29,209.47,1615200,0.0040008372773916445,207.95285714285714,206.99360000000001
2021-06-07,2021,6,7,Monday,23,2021-23,210.02,210.09,207.47,207.95,1877000,-0.007241401641409628,208.035,207.1502
2021-06-08,2021,6,8,Tuesday,23,2021-23,207.78,210.0,207.64,208.8,2106200,0.004100252828990181,208.16214285714287,207.3058
2021-06-09,2021,6,9,Wednesday,23,2021-23,209.11,210.31,207.73,207.75,1982200,-0.005029354220307258,208.32785714285714,207.40220000000002
2021-06-10,2021,6,10,Thursday,23,2021-23,208.27,210.83,208.16,210.55,2534000,0.013479159127627538,208.56428571428572,207.5968
2021-06-11,2021,6,11,Friday,23,2021-23,210.92,213.16,210.66,212.65,2654300,0.009974879632326461,209.01,207.8484
2021-06-14,2021,6,14,Monday,24,2021-24,212.88,213.41,210.75,212.7,1836800,0.00021103004763634026,209.41714285714284,208.082
